geracao,fitness,movimentos
0,635,EEDBEDEBBEDCBCCDCCDBCEDBBEEDBDDBEECDBECCECDBDDCBBEDDBEBDEBDBCDEDCDBDDEBCBDCBBECC
1,635,EEDBEDEBBEDCBCCDCCDBCEDBBEEDBDDBEECDBECCECDBDDCBBEDDBEBDEBDBCDEDCDBDDEBCBDCBBECC
2,635,EEDBEDEBBEDCBCCDCCDBCEDBBEEDBDDBEECDBECCECDBDDCBBEDDBEBDEBDBCDEDCDBDDEBCBDCBBECC
3,665,EEDBEDEBBEDCBCCDCCDBCEDBBEEDBDDBEECDBECCECDBDDCBBEDDBEBDEBDEEBEBEBEEDEBCBDCBBECC
4,665,EEDBEDEBBEDCBCCDCCDBCEDBBEEDBDDBEECDBECCECDBDDCBBEDDBEBDEBDEEBEBEBEEDEBCBDCBBECC
5,665,EEDBEDEBBEDCBCCDCCDBCEDBBEEDBDDBEECDBECCECDBDDCBBEDDBEBDEBDEEBEBEBEEDEBCBDCBBECC
6,665,EEDBEDEBBEDCBCCDCCDBCEDBBEEDBDDBEECDBECCECDBDDCBBEDDBEBDEBDEEBEBEBEEDEBCBDCBBECC
7,665,EEDBEDEBBEDCBCCDCCDBCEDBBEEDBDDBEECDBECCECDBDDCBBEDDBEBDEBDEEBEBEBEEDEBCBDCBBECC
8,665,EEDBEDEBBEDCBCCDCCDBCEDBBEEDBDDBEECDBECCECDBDDCBBEDDBEBDEBDEEBEBEBEEDEBCBDCBBECC
9,665,EEDBEDEBBEDCBCCDCCDBCEDBBEEDBDDBEECDBECCECDBDDCBBEDDBEBDEBDEEBEBEBEEDEBCBDCBBECC
